Gender,income,ed,rainC,rainV,crop,p_month,h_month,yrs_income,tenure,moist,geometry
Female,Livestock Keeping,None,Decrease,Late onset,NA,NA,NA,> 40,Private ,4,"c(35.8661688, -1.5533768)"
Female,Livestock Keeping,Primary School,Decrease,Late onset,NA,NA,NA,31 - 40,Private ,5,"c(35.8089652, -1.2988388)"
Female,Livestock Keeping,None,Decrease,Late onset,NA,NA,NA,11 - 20,Private ,5,"c(35.7972128, -1.3011113)"
Female,Livestock Keeping,None,Decrease,Late onset,NA,NA,NA,21 - 30,Private ,4,"c(35.4948658, -1.0494662)"
Male,Livestock Keeping,None,Decrease,Late onset,NA,NA,NA,31 - 40,Private ,4,"c(35.5104799, -1.0374867)"
Female,Livestock Keeping,None,Decrease,Late onset,NA,NA,NA,21 - 30,Private ,3,"c(35.6095677, -0.9412566)"
Male,Livestock Keeping,High School,Decrease,Late onset,NA,NA,NA,> 40,Private ,3,"c(35.6095599, -0.9412518)"
Male,Livestock Keeping,None,Decrease,Late onset,NA,NA,NA,31 - 40,Private ,3,"c(35.612814, -0.9294662)"
Female,Livestock Keeping,High School,Decrease,Late onset,NA,NA,NA,> 40,Private ,4,"c(35.6740593, -0.9806352)"
Male,Livestock Keeping,Primary School,Variable (unstable patterns),Late onset,NA,NA,NA,11 - 20,Group ranch,4,"c(35.8513796, -1.5561595)"
Female,Livestock Keeping,High School,Decrease,Late onset,NA,NA,NA,< 10,Private ,5,"c(35.7251986, -1.3507209)"
Female,Livestock Keeping,None,Increase,Late onset,NA,NA,NA,> 40,Private ,5,"c(35.7266143, -1.3487795)"
Male,Livestock Keeping,Primary School,Decrease,Late onset,NA,NA,NA,31 - 40,Private ,5,"c(35.7940244, -1.3044588)"
Female,Livestock Keeping,Primary School,Variable (unstable patterns),"Early ending,Early onset",NA,NA,NA,< 10,Private ,5,"c(35.8120229, -1.3006026)"
Female,Livestock Keeping,None,Variable (unstable patterns),"Early ending,Early onset",NA,NA,NA,< 10,Private ,5,"c(35.7295732, -1.353604)"
Male,Livestock Keeping,Primary School,Decrease,"Early ending,Early onset",NA,NA,NA,11 - 20,Private ,5,"c(35.7259992, -1.3543285)"
Female,Livestock Keeping,None,Decrease,"Early ending,Late onset",NA,NA,NA,31 - 40,Private ,5,"c(35.7761863, -1.2994026)"
Female,Livestock Keeping,Primary School,None (no changes),"Early onset,Late ending",NA,NA,NA,21 - 30,Private ,4,"c(35.50204362, -1.047549528)"
